period,confidence_floor,scope,entity,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,rule,validation_kappa,validation_precision_pct,validation_sensitivity_pct
FY2021_FY2025,corroborated,All surgical departments (narrow),MGH,207448227.0,343,138,90897432.0,184,0,73,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),BWH,150000884.0,209,68,69583357.0,127,0,43,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF10040927,88897528.0,202,78,65098664.0,118,0,50,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF10068583,5881324.0,14,3,0.0,0,0,1,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF861001,678699.0,3,3,0.0,0,0,1,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF4976101,46868955.0,86,34,29867230.0,57,0,21,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF1504801,121973882.0,212,83,96901827.0,151,0,38,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF5079202,110820330.0,106,39,27489874.0,49,0,26,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF615001,29841581.0,66,26,22663900.0,46,0,15,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),DFCI,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF1499101,107713583.0,99,34,21293408.0,40,0,14,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),BIDMC,46899621.0,87,35,27617258.0,50,0,19,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF1225501,51309142.0,98,39,39108873.0,78,0,24,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF7893501,13270541.0,25,9,8913721.0,14,0,4,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF1531401,1057597.0,3,2,991567.0,2,0,2,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF3058203,18794681.0,32,13,17818254.0,27,0,9,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF1495302,23922564.0,60,19,18912871.0,41,0,9,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF4976105,402401.0,1,1,0.0,0,0,1,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF3736101,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF10005742,56077223.0,120,50,42409701.0,84,0,23,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF6959701,35718396.0,94,37,21455184.0,40,0,18,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,All surgical departments (narrow),IPF1520001,15265695.0,40,15,12642001.0,27,0,10,majority,0.916,100.0,91.9
