period,rank,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,rank_award_years,rank_r01_funding,rank_r01_award_years
FY2021_FY2025,42,IPF10034168,RUTGERS BIOMEDICAL AND HEALTH SCIENCES,Rutgers Health (RBHS),20019319.0,30,9,4712964.0,8,0,9,NIH ORG_DEPT (contact PI),n/a,2224369.0,523663.0,2224369.0,667311.0,23.5,True,50,57,61
FY2021_FY2025,43,IPF7636101,UNIVERSITY OF SOUTHERN CALIFORNIA,USC,18077809.0,59,22,8018628.0,20,0,20,NIH ORG_DEPT (contact PI),n/a,903890.0,400931.0,821719.0,306404.0,44.4,True,36,49,43
FY2021_FY2025,44,IPF1524204,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,Penn State Hershey,16924605.0,25,13,14992998.0,21,0,11,NIH ORG_DEPT (contact PI),n/a,1538600.0,1363000.0,1301893.0,676984.0,88.6,True,52,36,42
FY2021_FY2025,45,IPF10000858,CLEVELAND CLINIC LERNER COM-CWRU,Cleveland Clinic,14568334.0,29,12,10243826.0,20,0,13,NIH ORG_DEPT (contact PI),n/a,1120641.0,787987.0,1214028.0,502356.0,70.3,True,51,44,43
FY2021_FY2025,46,IPF578104,UNIVERSITY OF NEBRASKA MEDICAL CENTER,Nebraska Medical Center,14393470.0,33,12,12300585.0,25,0,9,NIH ORG_DEPT (contact PI),n/a,1599274.0,1366732.0,1199456.0,436166.0,85.5,True,46,38,37
FY2021_FY2025,47,IPF9021205,WAKE FOREST UNIVERSITY HEALTH SCIENCES,Wake Forest,13718145.0,34,16,6709943.0,11,0,23,NIH ORG_DEPT (contact PI),n/a,596441.0,291737.0,857384.0,403475.0,48.9,True,43,51,54
FY2021_FY2025,48,IPF46001,MEDICAL COLLEGE OF WISCONSIN,Medical College of Wisconsin,13375219.0,32,11,11550425.0,23,0,12,NIH ORG_DEPT (contact PI),n/a,1114602.0,962535.0,1215929.0,417976.0,86.4,True,47,40,40
FY2021_FY2025,49,IPF353201,VIRGINIA COMMONWEALTH UNIVERSITY,VCU,13083133.0,24,10,8452140.0,16,0,9,NIH ORG_DEPT (contact PI),n/a,1453681.0,939127.0,1308313.0,545131.0,64.6,True,53,47,50
FY2021_FY2025,50,IPF578002,UNIVERSITY OF MISSOURI-COLUMBIA,University of Missouri,12741428.0,32,13,11962886.0,25,0,9,NIH ORG_DEPT (contact PI),n/a,1415714.0,1329210.0,980110.0,398170.0,93.9,True,47,39,37
FY2021_FY2025,51,IPF9087701,UNIVERSITY OF WASHINGTON,University of Washington,11882323.0,34,9,4760496.0,12,0,9,NIH ORG_DEPT (contact PI),n/a,1320258.0,528944.0,1320258.0,349480.0,40.1,True,43,56,53
FY2021_FY2025,52,IPF577504,UNIVERSITY OF CALIFORNIA-IRVINE,UC Irvine,11147912.0,18,9,7673622.0,14,0,13,NIH ORG_DEPT (contact PI),n/a,857532.0,590279.0,1238657.0,619328.0,68.8,True,57,50,51
FY2021_FY2025,53,IPF513807,UNIVERSITY OF SOUTH FLORIDA,University of South Florida,10121246.0,31,15,6308212.0,20,0,10,NIH ORG_DEPT (contact PI),n/a,1012125.0,630821.0,674750.0,326492.0,62.3,True,49,53,43
