period,specialty,nih_org_dept,total_funding,award_years,distinct_projects,direct_cost,indirect_cost,award_years_missing_cost,r01_funding,r01_award_years,r01_distinct_projects,m_funding,m_award_years,m_distinct_projects,funding_R01,awards_R01,funding_R_OTHER,awards_R_OTHER,funding_U,awards_U,funding_P,awards_P,funding_K,awards_K,funding_T,awards_T,funding_F,awards_F,funding_M,awards_M,funding_OTHER,awards_OTHER,funding_UNMAPPED,awards_UNMAPPED,non_r01_funding,non_r01_award_years,funded_investigators,funded_contact_pis,funding_per_investigator,funding_per_project,mean_award_size,r01_funding_per_investigator,projects_per_investigator,r01_share_of_funding,rank_total_funding,rank_award_years,rank_distinct_projects,rank_r01_funding,rank_r01_award_years,rank_m_award_years,meets_intensity_floor,rank_funding_per_investigator,rank_total_funding_if_single_entity,rank_award_years_if_single_entity,rank_distinct_projects_if_single_entity,rank_r01_funding_if_single_entity,rank_r01_award_years_if_single_entity,rank_m_award_years_if_single_entity,is_ranked,n_ranked,rank_peer_set
FY2025,SOCIAL_BEHAVIORAL,SOCIAL SCIENCES,190008748.0,346,285,145456791.0,51905146.0,0,93111223.0,173,132,0.0,0,0,93111223.0,173,15812672.0,66,50122109.0,19,13841268.0,19,4248532.0,28,7499733.0,19,760069.0,16,0.0,0,4613142.0,6,0.0,0,96897525.0,173,339,241,560498.0,666697.0,549158.0,274664.0,0.84,49.0,30.0,30.0,31.0,31.0,32.0,1.0,True,14.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,OTOLARYNGOLOGY_HNS,OTOLARYNGOLOGY,183666557.0,325,313,134513953.0,52315312.0,0,106432809.0,181,176,0.0,0,0,106432809.0,181,18567064.0,51,14251434.0,20,25156771.0,7,6644854.0,37,2711948.0,9,1025733.0,18,0.0,0,8875944.0,2,0.0,0,77233748.0,144,332,244,553213.0,586794.0,565128.0,320581.0,0.94,57.9,31.0,31.0,30.0,29.0,30.0,1.0,True,15.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,NUTRITION,NUTRITION,151818538.0,244,204,114443452.0,39142638.0,0,71346720.0,128,105,0.0,0,0,71346720.0,128,24593527.0,49,44333784.0,23,4636998.0,4,2332447.0,17,4126390.0,12,448671.0,10,0.0,0,1.0,1,0.0,0,80471818.0,116,253,175,600073.0,744209.0,622207.0,282003.0,0.81,47.0,32.0,34.0,35.0,34.0,34.0,1.0,True,8.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,EMERGENCY_MEDICINE,EMERGENCY MEDICINE,139919908.0,221,207,122514752.0,35726715.0,0,51953129.0,78,74,0.0,0,0,51953129.0,78,23790879.0,45,40212280.0,29,8553481.0,3,13847640.0,58,1252667.0,5,39842.0,2,0.0,0,269990.0,1,0.0,0,87966779.0,143,248,163,564193.0,675942.0,633122.0,209488.0,0.83,37.1,33.0,35.0,34.0,36.0,37.0,1.0,True,13.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,FAMILY_MEDICINE,FAMILY MEDICINE,121069642.0,210,188,92648157.0,31566085.0,0,56395678.0,99,85,0.0,0,0,56395678.0,99,15224909.0,41,30092908.0,21,8155480.0,4,5808388.0,34,1780613.0,5,127942.0,3,0.0,0,3483724.0,3,0.0,0,64673964.0,111,237,155,510842.0,643987.0,576522.0,237956.0,0.79,46.6,34.0,36.0,36.0,35.0,35.0,1.0,True,27.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,DERMATOLOGY,DERMATOLOGY,118360036.0,245,237,82165070.0,37774726.0,0,75934346.0,130,125,0.0,0,0,75934346.0,130,6708992.0,27,14762427.0,16,8717017.0,7,5761242.0,36,3221859.0,10,717401.0,15,0.0,0,2536752.0,4,0.0,0,42425690.0,115,218,161,542936.0,499409.0,483102.0,348323.0,1.09,64.2,35.0,33.0,33.0,33.0,33.0,1.0,True,16.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,ORTHOPEDIC_SURGERY,ORTHOPEDICS,117120155.0,294,265,81699059.0,36884599.0,0,86801310.0,181,167,0.0,0,0,86801310.0,181,9842004.0,39,6621606.0,20,8258891.0,9,2100352.0,17,2478492.0,10,1017500.0,18,0.0,0,0.0,0,0.0,0,30318845.0,113,264,193,443637.0,441963.0,398368.0,328793.0,1.0,74.1,36.0,32.0,32.0,32.0,30.0,1.0,True,35.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,UROLOGY,UROLOGY,73557098.0,142,136,52063557.0,22689678.0,0,45536197.0,80,78,0.0,0,0,45536197.0,80,6984514.0,18,6891706.0,9,7763381.0,6,4355867.0,21,1681731.0,4,122047.0,3,0.0,0,221655.0,1,0.0,0,28020901.0,62,161,111,456876.0,540861.0,518008.0,282834.0,0.84,61.9,37.0,38.0,37.0,37.0,36.0,1.0,True,33.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,PHYSICAL_SCIENCE,PHYSICS,66847916.0,133,127,49173286.0,18620241.0,0,17998925.0,36,35,0.0,0,0,17998925.0,36,31387139.0,74,12731090.0,8,0.0,0,0.0,0,1472692.0,4,304320.0,7,0.0,0,2953750.0,4,0.0,0,48848991.0,97,166,118,402698.0,526362.0,502616.0,108427.0,0.77,26.9,38.0,39.0,39.0,40.0,40.0,1.0,True,42.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,PMR,PHYSICAL MEDICINE & REHAB,64300449.0,145,129,49449726.0,16549791.0,0,35359362.0,73,62,0.0,0,0,35359362.0,73,4816070.0,22,17629040.0,12,0.0,0,3689757.0,23,1433025.0,6,391694.0,8,0.0,0,981501.0,1,0.0,0,28941087.0,72,157,112,409557.0,498453.0,443451.0,225219.0,0.82,55.0,39.0,37.0,38.0,38.0,38.0,1.0,True,41.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,ADMINISTRATION,ADMINISTRATION,51481449.0,88,70,37125308.0,14996379.0,0,30014980.0,47,34,0.0,0,0,30014980.0,47,6532923.0,17,609646.0,1,10315362.0,4,553906.0,4,1795285.0,8,178955.0,4,0.0,0,1480392.0,3,0.0,0,21466469.0,41,83,55,620258.0,735449.0,585016.0,361626.0,0.84,58.3,40.0,40.0,40.0,39.0,39.0,1.0,True,7.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,BASIC_SCIENCE,ZOOLOGY,21122798.0,46,45,15687165.0,6248176.0,0,10325416.0,19,18,0.0,0,0,10325416.0,19,7465023.0,21,0.0,0,2726584.0,2,248490.0,2,279245.0,1,78040.0,1,0.0,0,0.0,0,0.0,0,10797382.0,27,51,39,414173.0,469396.0,459191.0,202459.0,0.88,48.9,41.0,41.0,41.0,41.0,41.0,1.0,True,40.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,BASIC_SCIENCE,BIOPHYSICS,17786684.0,37,36,13958290.0,5858680.0,0,6427064.0,12,12,0.0,0,0,6427064.0,12,6573856.0,14,1295391.0,2,2556214.0,1,253737.0,2,0.0,0,295422.0,5,0.0,0,385000.0,1,0.0,0,11359620.0,25,31,28,573764.0,494075.0,480721.0,207325.0,1.16,36.1,42.0,42.0,42.0,42.0,42.0,1.0,True,11.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,OTHER_CLINICAL,OTHER CLINICAL SCIENCES,11290701.0,29,29,8146192.0,3144509.0,0,5534263.0,12,12,0.0,0,0,5534263.0,12,2813440.0,5,0.0,0,0.0,0,748798.0,5,738660.0,3,95556.0,2,0.0,0,1359984.0,2,0.0,0,5756438.0,17,29,27,389335.0,389335.0,389335.0,190837.0,1.0,49.0,43.0,43.0,43.0,43.0,42.0,1.0,True,43.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,PLASTIC_SURGERY,PLASTIC SURGERY,1066636.0,4,4,801368.0,265268.0,0,507876.0,1,1,0.0,0,0,507876.0,1,395140.0,2,0.0,0,0.0,0,163620.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,558760.0,3,4,3,266659.0,266659.0,266659.0,126969.0,1.0,47.6,44.0,44.0,44.0,44.0,44.0,1.0,False,,,,,,,,True,44,NIH department values with a recorded department
