period,entity,nih_org_dept,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,r01_distinct_projects,m_award_years,m_distinct_projects,funded_investigators
FY2024_FY2025,IPF3058203,OTHER BASIC SCIENCES,19564527.0,37,20,12699811.0,25,13,0,0,13
FY2024_FY2025,IPF3058203,OTHER HEALTH PROFESSIONS,941412.0,3,2,0.0,0,0,0,0,1
FY2024_FY2025,IPF3058203,PATHOLOGY,783043.0,2,1,783043.0,2,1,0,0,1
FY2024_FY2025,IPF3058203,PEDIATRICS,5369423.0,12,6,4954009.0,11,5,0,0,4
FY2024_FY2025,IPF3058203,RADIATION-DIAGNOSTIC/ONCOLOGY,6208069.0,14,8,4756216.0,9,6,0,0,6
FY2024_FY2025,IPF3058203,SURGERY,6885093.0,9,5,6885093.0,9,5,0,0,5
FY2024_FY2025,IPF1495302,DENTISTRY,327492.0,2,1,0.0,0,0,0,0,1
FY2024_FY2025,IPF1495302,INTERNAL MEDICINE/MEDICINE,15908767.0,42,24,11006451.0,23,13,0,0,18
FY2024_FY2025,IPF1495302,NEUROLOGY,8005311.0,9,5,2711643.0,4,2,0,0,2
FY2024_FY2025,IPF1495302,NEUROSURGERY,375270.0,2,1,0.0,0,0,0,0,1
FY2024_FY2025,IPF1495302,OTHER BASIC SCIENCES,7140085.0,15,10,4991510.0,9,5,0,0,9
FY2024_FY2025,IPF1495302,OTOLARYNGOLOGY,1502050.0,3,1,1502050.0,3,1,0,0,1
FY2024_FY2025,IPF1495302,PATHOLOGY,4290730.0,2,1,0.0,0,0,0,0,1
FY2024_FY2025,IPF1495302,PEDIATRICS,37228032.0,57,34,20398934.0,36,20,0,0,24
FY2024_FY2025,IPF1495302,PSYCHIATRY,8864319.0,20,14,5955081.0,9,6,0,0,12
FY2024_FY2025,IPF1495302,SURGERY,7853473.0,17,9,6480259.0,14,7,0,0,4
FY2024_FY2025,IPF1495302,UROLOGY,546225.0,2,2,429225.0,1,1,0,0,2
FY2024_FY2025,IPF4976105,INTERNAL MEDICINE/MEDICINE,11742397.0,22,13,8091252.0,11,6,0,0,9
FY2024_FY2025,IPF4976105,NEUROLOGY,21962782.0,13,8,5222195.0,4,3,0,0,6
FY2024_FY2025,IPF4976105,NEUROSURGERY,402401.0,1,1,0.0,0,0,0,0,1
FY2024_FY2025,IPF4976105,OBSTETRICS & GYNECOLOGY,1831773.0,3,2,1831773.0,3,2,0,0,1
