period,rank,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,rank_award_years,rank_r01_funding,rank_r01_award_years
FY2024_FY2025,71,IPF3972901,UNIVERSITY OF IOWA,University of Iowa,839012.0,2,2,683512.0,1,0,3,NIH ORG_DEPT (contact PI),n/a,279671.0,227837.0,419506.0,419506.0,81.5,False,70,70,68
FY2024_FY2025,72,IPF4050801,THOMAS JEFFERSON UNIVERSITY,Thomas Jefferson University,771050.0,3,2,693050.0,2,0,2,NIH ORG_DEPT (contact PI),n/a,385525.0,346525.0,385525.0,257017.0,89.9,False,67,69,63
FY2024_FY2025,73,IPF578209,EAST CAROLINA UNIVERSITY,East Carolina University,754312.0,2,1,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,377156.0,0.0,754312.0,377156.0,0.0,False,70,74,74
FY2024_FY2025,74,IPF513809,FLORIDA INTERNATIONAL UNIVERSITY,Florida International,709718.0,1,1,709718.0,1,0,1,NIH ORG_DEPT (contact PI),n/a,709718.0,709718.0,709718.0,709718.0,100.0,False,80,68,68
FY2024_FY2025,75,IPF578417,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,UTHealth Houston,691916.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,691916.0,0.0,691916.0,345958.0,0.0,False,70,74,74
FY2024_FY2025,76,IPF6297007,OREGON HEALTH & SCIENCE UNIVERSITY,OHSU,654602.0,5,3,0.0,0,0,3,NIH ORG_DEPT (contact PI),n/a,218201.0,0.0,218201.0,130920.0,0.0,False,60,74,74
FY2024_FY2025,77,IPF577902,LSU HEALTH SCIENCES CENTER,LSU Health New Orleans,528369.0,1,1,528369.0,1,0,2,NIH ORG_DEPT (contact PI),n/a,264184.0,264184.0,528369.0,528369.0,100.0,False,80,72,68
FY2024_FY2025,78,IPF1484303,UNIVERSITY OF KANSAS MEDICAL CENTER,Kansas Medical Center,474168.0,1,1,474168.0,1,0,1,NIH ORG_DEPT (contact PI),n/a,474168.0,474168.0,474168.0,474168.0,100.0,False,80,73,68
FY2024_FY2025,79,IPF8285902,TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,Texas Tech Health Sciences,438087.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,438087.0,0.0,438087.0,219044.0,0.0,False,70,74,74
FY2024_FY2025,80,IPF8455007,ALBANY MEDICAL COLLEGE,Albany Medical College,391193.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,391193.0,0.0,391193.0,195596.0,0.0,False,70,74,74
FY2024_FY2025,81,IPF8721001,VANDERBILT UNIVERSITY,Vanderbilt University,363848.0,2,2,0.0,0,0,4,NIH ORG_DEPT (contact PI),n/a,90962.0,0.0,181924.0,181924.0,0.0,False,70,74,74
FY2024_FY2025,82,IPF850903,UNIV OF MASSACHUSETTS MED SCH WORCESTER,UMass Chan Medical School,326116.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,326116.0,0.0,326116.0,163058.0,0.0,False,70,74,74
FY2024_FY2025,83,IPF5390304,UNIVERSITY OF MISSISSIPPI MED CTR,Mississippi Medical Center,246794.0,2,2,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,123397.0,0.0,123397.0,123397.0,0.0,False,70,74,74
FY2024_FY2025,84,IPF578705,UNIVERSITY OF PUERTO RICO MED SCIENCES,Puerto Rico Medical Sciences,243119.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,243119.0,0.0,243119.0,243119.0,0.0,False,80,74,74
FY2024_FY2025,85,IPF8240301,TEMPLE UNIV OF THE COMMONWEALTH,Temple University,230956.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,230956.0,0.0,230956.0,230956.0,0.0,False,80,74,74
